code,name
CSUSHPISA,S&P/Case-Shiller U.S. National Home Price Index
HNFSEPUSSA,New One Family Homes for Sale in the United States
HOUST1F,New Privately-Owned Housing Units Started: Single-Family Units
HSN1F,New One Family Houses Sold: United States
INTDSRUSM193N,"Interest Rates, Discount Rate for United States"
LFACTTTTUSM657S,Active Population: Aged 15 and over: All Persons for United States
MSACSR,Monthly Supply of New Houses in the United States
NA000334Q,Gross Domestic Product
NASDAQCOM,NASDAQ Composite Index
PERMIT,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units
PERMIT1,New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Single-Family Units
QUSR628BIS,Real Residential Property Prices for United States
RSAHORUSQ156S,Homeownership Rate in the United States
TTLCONS,Total Construction Spending: Total Construction in the United States
UNRATE,Unemployment Rate
